CVEGEO,suelo_arcilloso,suelo_arenoso,suelo_fertil,suelo_limitado,nomestado
13027,0.030687716384089,0.0,99.9693122836159,0.0,HIDALGO
13028,14.293530384632735,85.70646961536725,0.0,0.0,HIDALGO
13029,0.0,0.0,100.0,0.0,HIDALGO
13030,0.0,38.133128189643,61.866871810357004,0.0,HIDALGO
13031,0.0,49.264750650048626,50.735249349951374,0.0,HIDALGO
13032,0.0,100.0,0.0,0.0,HIDALGO
13033,0.0,3.7470225018061734,96.25297749819381,0.0,HIDALGO
13034,0.0,60.95826718374872,39.041732816251276,0.0,HIDALGO
13035,0.0,0.0,100.0,0.0,HIDALGO
13036,0.0,0.0,100.0,0.0,HIDALGO
13037,0.0,0.0,100.0,0.0,HIDALGO
13038,0.0,0.0,100.0,0.0,HIDALGO
13039,0.0,0.0,100.0,0.0,HIDALGO
13040,0.0,60.488698368553955,39.51130163144604,0.0,HIDALGO
13041,0.0,0.0,100.0,0.0,HIDALGO
13042,0.0,15.905743177799774,84.09425682220024,0.0,HIDALGO
13043,0.0,64.91403281294737,35.08596718705264,0.0,HIDALGO
13044,0.0,0.0,100.0,0.0,HIDALGO
13045,0.0,0.0,100.0,0.0,HIDALGO
13046,22.787068570376213,77.2129314296238,0.0,0.0,HIDALGO
13047,0.0,99.8055686937388,0.19443130626118446,0.0,HIDALGO
13048,0.0,0.0,100.0,0.0,HIDALGO
13049,0.0,100.0,0.0,0.0,HIDALGO
13050,0.0,0.0,100.0,0.0,HIDALGO
13051,0.0,0.0,100.0,0.0,HIDALGO
13052,0.0,0.0,100.0,0.0,HIDALGO
13053,0.0,0.0,100.0,0.0,HIDALGO
13054,0.0,1.8931110522128407,98.10688894778717,0.0,HIDALGO
13055,0.0,37.850261735255394,62.149738264744606,0.0,HIDALGO
13056,0.0,0.0,100.0,0.0,HIDALGO
13057,0.0,0.0,100.0,0.0,HIDALGO
13058,0.0,9.959569402818282,90.04043059718173,0.0,HIDALGO
13059,0.0,0.0,100.0,0.0,HIDALGO
13060,0.0,0.0,100.0,0.0,HIDALGO
13061,0.0,0.0,100.0,0.0,HIDALGO
13062,0.0,71.13146466378114,28.86853533621887,0.0,HIDALGO
13063,0.0,0.0,100.0,0.0,HIDALGO
13064,0.0,0.0,100.0,0.0,HIDALGO
13065,0.0,0.0,100.0,0.0,HIDALGO
13066,0.0,0.0,100.0,0.0,HIDALGO
13067,0.0,0.0,100.0,0.0,HIDALGO
13068,0.0,67.7822605492117,32.2177394507883,0.0,HIDALGO
13069,0.0,0.0,100.0,0.0,HIDALGO
13070,0.0,0.0,100.0,0.0,HIDALGO
13071,0.0,23.944467494033745,76.05553250596626,0.0,HIDALGO
13072,0.0,0.0,100.0,0.0,HIDALGO
13073,0.0,100.0,0.0,0.0,HIDALGO
13074,0.0,0.0,100.0,0.0,HIDALGO
13075,0.0,0.0,100.0,0.0,HIDALGO
13076,0.0,0.0,100.0,0.0,HIDALGO
13077,0.0,0.0,100.0,0.0,HIDALGO
13078,0.0,78.43273455398977,21.56726544601022,0.0,HIDALGO
13079,0.0,45.434489919671826,54.56551008032818,0.0,HIDALGO
13080,0.0,95.7602024095017,4.239797590498294,0.0,HIDALGO
13081,0.0,1.9156979863865449,98.08430201361345,0.0,HIDALGO
13082,0.0,0.0,100.0,0.0,HIDALGO
13083,0.0,0.0,100.0,0.0,HIDALGO
13084,0.0,62.17557834733998,37.824421652660014,0.0,HIDALGO
14001,0.0,0.0,100.0,0.0,JALISCO
14002,0.0,0.0,100.0,0.0,JALISCO
14003,0.0,0.0,100.0,0.0,JALISCO
